text,emotion,timestamp,clean_text,emotion_label,words_before,words_after,time_period,augmented_text,aug_len
i am really sad and lonely. (9),sadness,2025-01-03 04:30:00,really sad lonely. (9),3,7,4,Night,lonely. really (9) unhappy,4
everything makes me angry lately. (9),anger,2025-01-03 05:30:00,everything makes me angry lately. (9),0,6,6,Night,everything (9) lately. me makes mad,6
i’m anxious about my exams. (9),fear,2025-01-03 06:30:00,i’m anxious about exams. (9),1,6,5,Morning,anxious about (9) i’m exams.,5
life feels amazing and beautiful! (9),joy,2025-01-03 07:30:00,life feels amazing beautiful! (9),2,6,5,Morning,(9) amazing feels life beautiful!,5
i am feeling excited,joy,2025-01-03 08:30:00,feeling excited,2,4,2,Morning,feeling thrilled,2
i feel a bit angry today,anger,2025-01-03 09:30:00,feel bit angry today,0,6,4,Morning,mad bit today feel,4
life is amazing,joy,2025-01-03 10:30:00,life amazing,2,3,2,Morning,life wonderful,2
i am scared of the dark,fear,2025-01-03 11:30:00,scared dark,1,6,2,Morning,scared dark,2
i am feeling excited,joy,2025-01-03 12:30:00,feeling excited,2,4,2,Afternoon,thrilled feeling,2
i feel a bit angry today,anger,2025-01-03 13:30:00,feel bit angry today,0,6,4,Afternoon,feel bit angry today,4
life is amazing,joy,2025-01-03 14:30:00,life amazing,2,3,2,Afternoon,wonderful life,2
i am scared of the dark,fear,2025-01-03 15:30:00,scared dark,1,6,2,Afternoon,dark afraid,2
i am feeling excited,joy,2025-01-03 16:30:00,feeling excited,2,4,2,Afternoon,feeling thrilled,2
i feel a bit angry today,anger,2025-01-03 17:30:00,feel bit angry today,0,6,4,Afternoon,today bit angry feel,4
life is amazing,joy,2025-01-03 18:30:00,life amazing,2,3,2,Evening,life amazing,2
i am scared of the dark,fear,2025-01-03 19:30:00,scared dark,1,6,2,Evening,afraid dark,2
i am feeling excited,joy,2025-01-03 20:30:00,feeling excited,2,4,2,Evening,excited feeling,2
i feel a bit angry today,anger,2025-01-03 21:30:00,feel bit angry today,0,6,4,Evening,bit today angry feel,4
life is amazing,joy,2025-01-03 22:30:00,life amazing,2,3,2,Evening,wonderful life,2
i am scared of the dark,fear,2025-01-03 23:30:00,scared dark,1,6,2,Evening,dark afraid,2
i am feeling excited,joy,2025-01-04 00:30:00,feeling excited,2,4,2,Night,feeling excited,2
i feel a bit angry today,anger,2025-01-04 01:30:00,feel bit angry today,0,6,4,Night,today angry bit feel,4
life is amazing,joy,2025-01-04 02:30:00,life amazing,2,3,2,Night,amazing life,2
i am scared of the dark,fear,2025-01-04 03:30:00,scared dark,1,6,2,Night,afraid dark,2
i am feeling excited,joy,2025-01-04 04:30:00,feeling excited,2,4,2,Night,feeling thrilled,2
i feel a bit angry today,anger,2025-01-04 05:30:00,feel bit angry today,0,6,4,Night,mad today bit feel,4
life is amazing,joy,2025-01-04 06:30:00,life amazing,2,3,2,Morning,amazing life,2
i am scared of the dark,fear,2025-01-04 07:30:00,scared dark,1,6,2,Morning,dark afraid,2
i am feeling excited,joy,2025-01-04 08:30:00,feeling excited,2,4,2,Morning,excited feeling,2
i feel a bit angry today,anger,2025-01-04 09:30:00,feel bit angry today,0,6,4,Morning,mad feel today bit,4
life is amazing,joy,2025-01-04 10:30:00,life amazing,2,3,2,Morning,life wonderful,2
i am scared of the dark,fear,2025-01-04 11:30:00,scared dark,1,6,2,Morning,scared dark,2
i am feeling excited,joy,2025-01-04 12:30:00,feeling excited,2,4,2,Afternoon,thrilled feeling,2
i feel a bit angry today,anger,2025-01-04 13:30:00,feel bit angry today,0,6,4,Afternoon,mad feel today bit,4
life is amazing,joy,2025-01-04 14:30:00,life amazing,2,3,2,Afternoon,life amazing,2
i am scared of the dark,fear,2025-01-04 15:30:00,scared dark,1,6,2,Afternoon,dark afraid,2
i am feeling excited,joy,2025-01-04 16:30:00,feeling excited,2,4,2,Afternoon,feeling thrilled,2
i feel a bit angry today,anger,2025-01-04 17:30:00,feel bit angry today,0,6,4,Afternoon,bit feel today angry,4
life is amazing,joy,2025-01-04 18:30:00,life amazing,2,3,2,Evening,wonderful life,2
i am scared of the dark,fear,2025-01-04 19:30:00,scared dark,1,6,2,Evening,dark afraid,2
i am feeling excited,joy,2025-01-04 20:30:00,feeling excited,2,4,2,Evening,thrilled feeling,2
i feel a bit angry today,anger,2025-01-04 21:30:00,feel bit angry today,0,6,4,Evening,bit feel today angry,4
life is amazing,joy,2025-01-04 22:30:00,life amazing,2,3,2,Evening,life wonderful,2
i am scared of the dark,fear,2025-01-04 23:30:00,scared dark,1,6,2,Evening,dark afraid,2
